"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 22, 2022","52.3815","50.1650","53.4518","49.7976","673.51K","4.42%"
"Mar 21, 2022","50.1650","49.7999","51.9206","49.1895","494.00K","0.73%"
"Mar 20, 2022","49.7999","52.0784","52.4631","49.1821","445.24K","-4.38%"
"Mar 19, 2022","52.0784","50.4700","54.3600","50.2200","618.33K","3.23%"
"Mar 18, 2022","50.4500","50.2400","51.4400","48.5300","22.56M","0.42%"
"Mar 17, 2022","50.2400","50.4300","51.2601","49.4000","24.59M","-0.38%"
"Mar 16, 2022","50.4300","46.8700","50.7800","46.3100","38.99M","7.60%"
"Mar 15, 2022","46.8700","47.8599","48.5304","45.8900","20.08M","-2.07%"
"Mar 14, 2022","47.8599","45.1700","48.0599","44.7200","25.13M","5.70%"
"Mar 13, 2022","45.2799","46.5900","48.0200","45.0000","14.49M","-2.79%"
"Mar 12, 2022","46.5800","45.9000","48.5400","45.8100","16.05M","1.48%"
"Mar 11, 2022","45.9000","46.7700","48.2199","45.2201","24.15M","-1.86%"
"Mar 10, 2022","46.7700","48.6499","48.9300","45.0000","29.68M","-3.77%"
"Mar 09, 2022","48.6000","46.4000","49.3801","46.2300","35.78M","4.74%"
"Mar 08, 2022","46.4000","46.2000","47.6001","45.7401","29.57M","0.43%"
"Mar 07, 2022","46.2000","48.8899","50.1300","45.7399","43.79M","-5.50%"
"Mar 06, 2022","48.8899","51.8900","52.3199","48.6000","25.38M","-5.71%"
"Mar 05, 2022","51.8501","49.7798","52.9901","48.7600","28.71M","4.20%"
"Mar 04, 2022","49.7598","53.3356","53.3876","49.0289","36.59M","-6.70%"
"Mar 03, 2022","53.3356","55.5312","55.8193","51.9028","698.87K","-3.99%"
"Mar 02, 2022","55.5503","57.1155","58.8086","54.4697","1.27M","-2.74%"
"Mar 01, 2022","57.1155","54.4480","61.0900","53.4298","1.73M","4.90%"
"Feb 28, 2022","54.4480","47.9867","56.9703","47.1382","1.16M","13.46%"
"Feb 27, 2022","47.9867","50.3369","51.8723","46.7988","774.31K","-4.66%"
"Feb 26, 2022","50.3338","51.1505","52.8545","49.9512","578.40K","-1.60%"
"Feb 25, 2022","51.1505","48.7611","51.9689","46.2902","1.37M","4.78%"
"Feb 24, 2022","48.8180","48.6885","49.8091","41.9556","2.17M","0.27%"
"Feb 23, 2022","48.6885","51.0139","53.4385","48.6007","864.49K","-4.56%"
"Feb 22, 2022","51.0139","47.2783","51.2416","46.0452","1.11M","7.90%"
"Feb 21, 2022","47.2783","52.1271","56.0424","47.2363","1.39M","-9.16%"
"Feb 20, 2022","52.0467","54.8350","54.9184","49.7045","697.90K","-5.08%"
"Feb 19, 2022","54.8350","55.5222","56.8992","53.5724","420.28K","-1.25%"
"Feb 18, 2022","55.5315","56.3944","58.0861","53.7892","908.63K","-1.53%"
"Feb 17, 2022","56.3944","63.4148","64.5117","55.8294","922.35K","-11.07%"
"Feb 16, 2022","63.4148","63.2605","66.1117","61.8673","1.11M","0.24%"
"Feb 15, 2022","63.2605","56.8499","63.7286","56.7890","935.11K","11.28%"
"Feb 14, 2022","56.8499","58.0305","58.2027","55.1118","566.96K","-2.04%"
"Feb 13, 2022","58.0358","59.1826","60.4977","56.9322","471.18K","-1.75%"
"Feb 12, 2022","59.0700","58.9623","61.5110","56.7397","809.88K","0.19%"
