"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 22, 2022","2,038.16","1,997.45","2,099.73","1,992.36","2.67K","2.03%"
"Mar 21, 2022","1,997.63","1,990.20","2,043.58","1,960.95","2.58K","0.35%"
"Mar 20, 2022","1,990.70","2,059.59","2,107.48","1,975.21","2.49K","-3.41%"
"Mar 19, 2022","2,060.94","2,034.42","2,092.15","2,033.07","2.88K","1.30%"
"Mar 18, 2022","2,034.59","2,059.00","2,096.06","2,031.02","3.88K","-1.19%"
"Mar 17, 2022","2,059.08","1,923.20","2,093.08","1,922.72","5.29K","7.07%"
"Mar 16, 2022","1,923.20","1,785.06","2,011.60","1,737.98","5.34K","7.74%"
"Mar 15, 2022","1,784.98","1,787.67","1,855.98","1,719.12","2.45K","-0.15%"
"Mar 14, 2022","1,787.75","1,683.98","1,791.47","1,671.16","1.77K","6.10%"
"Mar 13, 2022","1,684.97","1,735.72","1,781.00","1,673.56","1.47K","-2.92%"
"Mar 12, 2022","1,735.73","1,748.41","1,791.41","1,735.73","1.53K","-0.72%"
"Mar 11, 2022","1,748.26","1,768.43","1,792.33","1,702.78","2.56K","-1.17%"
"Mar 10, 2022","1,769.01","1,903.00","1,914.43","1,760.05","2.74K","-6.98%"
"Mar 09, 2022","1,901.76","1,748.42","1,921.53","1,741.75","2.94K","8.69%"
"Mar 08, 2022","1,749.75","1,737.32","1,787.86","1,716.84","3.07K","0.64%"
"Mar 07, 2022","1,738.68","1,720.58","1,808.91","1,670.84","2.69K","1.07%"
"Mar 06, 2022","1,720.24","1,839.94","1,848.87","1,719.29","2.04K","-6.51%"
"Mar 05, 2022","1,839.94","1,793.15","1,867.79","1,751.46","2.46K","2.53%"
"Mar 04, 2022","1,794.52","2,038.92","2,048.11","1,777.69","3.27K","-12.03%"
"Mar 03, 2022","2,039.95","1,990.08","2,075.54","1,885.67","3.56K","2.46%"
"Mar 02, 2022","1,990.92","1,968.29","2,029.86","1,915.88","2.84K","1.31%"
"Mar 01, 2022","1,965.14","1,959.72","2,032.40","1,910.49","2.20K","0.27%"
"Feb 28, 2022","1,959.86","1,807.40","1,960.88","1,763.08","3.89K","8.45%"
"Feb 27, 2022","1,807.19","1,932.64","1,968.11","1,787.36","2.61K","-6.49%"
"Feb 26, 2022","1,932.64","1,989.49","2,013.72","1,925.46","0.43K","-2.86%"
"Feb 25, 2022","1,989.49","1,892.84","2,044.07","1,876.63","0.42K","5.14%"
"Feb 24, 2022","1,892.28","1,738.61","1,932.34","1,516.49","4.86K","8.84%"
"Feb 23, 2022","1,738.61","1,813.35","1,875.05","1,738.29","2.06K","-4.11%"
"Feb 22, 2022","1,813.22","1,666.37","1,832.13","1,639.11","3.41K","8.88%"
"Feb 21, 2022","1,665.28","1,774.59","1,857.45","1,662.74","2.69K","-6.10%"
"Feb 20, 2022","1,773.41","1,907.10","1,908.40","1,743.28","1.66K","-7.04%"
"Feb 19, 2022","1,907.70","1,891.95","1,927.11","1,843.60","1.21K","0.81%"
"Feb 18, 2022","1,892.43","1,973.02","2,008.79","1,887.05","1.51K","-4.13%"
"Feb 17, 2022","1,973.96","2,126.52","2,149.00","1,944.34","1.76K","-7.13%"
"Feb 16, 2022","2,125.52","2,098.44","2,175.33","2,022.90","2.26K","1.31%"
"Feb 15, 2022","2,098.06","1,936.43","2,098.06","1,929.76","1.85K","8.30%"
"Feb 14, 2022","1,937.32","1,924.98","1,990.40","1,870.11","1.81K","0.64%"
"Feb 13, 2022","1,924.98","1,991.77","2,034.28","1,924.93","1.52K","-3.32%"
"Feb 12, 2022","1,991.12","2,023.43","2,051.93","1,961.15","1.75K","-1.60%"
"Feb 11, 2022","2,023.43","2,103.65","2,129.69","1,969.66","2.74K","-3.80%"
"Feb 10, 2022","2,103.29","2,245.91","2,335.31","2,087.81","3.01K","-6.35%"
"Feb 09, 2022","2,245.87","2,205.25","2,266.01","2,144.87","1.98K","1.86%"
"Feb 08, 2022","2,204.89","2,252.36","2,315.31","2,164.89","3.36K","-2.12%"
"Feb 07, 2022","2,252.54","2,244.14","2,277.36","2,194.24","3.63K","0.32%"
"Feb 06, 2022","2,245.30","2,254.75","2,299.33","2,193.22","2.73K","-0.40%"
